Date,Description,Amount,Original_Amount_Str,Source_File
Money In,,1702.82,"+$1,702.82",april_2025.pdf
Apr 1,From Visa Debit x8179 Standard transfer,20.0,+$20.00,april_2025.pdf
Apr 1,From Visa Debit x8179 Standard transfer,4.88,+$4.88,april_2025.pdf
Apr 2,From Savings Transfer,9.0,+$9.00,april_2025.pdf
Apr 7,From Savings Transfer,9.95,+$9.95,april_2025.pdf
Apr 8,From Judy Wagner Cash App payment,10.0,+$10.00,april_2025.pdf
Apr 9,From Mark Adrian Cash App payment,3.94,+$3.94,april_2025.pdf
Apr 10,From Judy Wagner Cash App payment,10.0,+$10.00,april_2025.pdf
Apr 10,OASISBATCH PAYROLL Direct deposit,275.9,+$275.90,april_2025.pdf
Apr 13,From Savings Transfer,5.0,+$5.00,april_2025.pdf
Apr 13,From Savings Transfer,95.0,+$95.00,april_2025.pdf
Apr 14,From Savings Transfer,5.0,+$5.00,april_2025.pdf
Apr 14,From Savings Transfer,20.0,+$20.00,april_2025.pdf
Apr 15,From Savings Transfer,5.0,+$5.00,april_2025.pdf
Apr 16,From Savings Transfer,7.0,+$7.00,april_2025.pdf
Apr 17,OASISBATCH PAYROLL Direct deposit,275.9,+$275.90,april_2025.pdf
Apr 17,From Lonestarveteranscorp L.l.c Cash App payment,60.0,+$60.00,april_2025.pdf
Apr 18,From Savings Transfer,30.0,+$30.00,april_2025.pdf
Apr 20,From Lonestarveteranscorp L.l.c Cash App payment,60.0,+$60.00,april_2025.pdf
Apr 20,From Savings Transfer,10.0,+$10.00,april_2025.pdf
Apr 21,From Savings Transfer,30.0,+$30.00,april_2025.pdf
Apr 21,From Savings Transfer,30.0,+$30.00,april_2025.pdf
Apr 22,From Savings Transfer,20.0,+$20.00,april_2025.pdf
Apr 23,From Savings Transfer,20.0,+$20.00,april_2025.pdf
Apr 23,From Savings Transfer,5.0,+$5.00,april_2025.pdf
Apr 23,From Tracy Myers Cash App payment,28.0,+$28.00,april_2025.pdf
Apr 24,OASISBATCH PAYROLL Direct deposit,358.25,+$358.25,april_2025.pdf
Apr 24,From Savings Transfer,100.0,+$100.00,april_2025.pdf
Apr 25,From Savings Transfer,5.0,+$5.00,april_2025.pdf
Apr 25,From Savings Transfer,10.0,+$10.00,april_2025.pdf
Apr 26,From Savings Transfer,50.0,+$50.00,april_2025.pdf
Apr 26,From Savings Transfer,40.0,+$40.00,april_2025.pdf
Apr 26,From Savings Transfer,30.0,+$30.00,april_2025.pdf
Apr 27,From Savings Transfer,15.0,+$15.00,april_2025.pdf
Apr 27,From Savings Transfer,10.0,+$10.00,april_2025.pdf
Apr 29,From Savings Transfer,5.0,+$5.00,april_2025.pdf
Apr 30,From Savings Transfer,10.0,+$10.00,april_2025.pdf
Apr 30,From Savings Transfer,20.0,+$20.00,april_2025.pdf
