Date,Description,Amount,Original_Amount_Str,Source_File
Money In,,14870.63,"+$14,870.63",aug_2025.pdf
Aug 4,From Savings Transfer,25.0,+$25.00,aug_2025.pdf
Aug 4,From Savings Transfer,25.06,+$25.06,aug_2025.pdf
Aug 17,TEXAS TECH UNIVE INVOICE Direct deposit,9095.25,"+$9,095.25",aug_2025.pdf
Aug 18,From Savings Transfer,90.0,+$90.00,aug_2025.pdf
Aug 18,From Savings Transfer,400.0,+$400.00,aug_2025.pdf
Aug 18,From Savings Transfer,100.0,+$100.00,aug_2025.pdf
Aug 18,From Savings Transfer,400.0,+$400.00,aug_2025.pdf
Aug 18,From Savings Transfer,250.0,+$250.00,aug_2025.pdf
Aug 18,From Savings Transfer,400.0,+$400.00,aug_2025.pdf
Aug 18,From Savings Transfer,300.0,+$300.00,aug_2025.pdf
Aug 18,From Savings Transfer,250.0,+$250.00,aug_2025.pdf
Aug 19,From Savings Transfer,300.0,+$300.00,aug_2025.pdf
Aug 19,From Savings Transfer,500.0,+$500.00,aug_2025.pdf
Aug 20,From Savings Transfer,500.0,+$500.00,aug_2025.pdf
Aug 20,From Savings Transfer,250.0,+$250.00,aug_2025.pdf
Aug 21,PAYPAL ACCTVERIFY Direct deposit,0.13,+$0.13,aug_2025.pdf
Aug 21,PAYPAL ACCTVERIFY Direct deposit,0.19,+$0.19,aug_2025.pdf
Aug 22,From Savings Transfer,100.0,+$100.00,aug_2025.pdf
Aug 25,From Savings Transfer,200.0,+$200.00,aug_2025.pdf
Aug 26,From Savings Transfer,5.0,+$5.00,aug_2025.pdf
Aug 26,From Savings Transfer,50.0,+$50.00,aug_2025.pdf
Aug 27,From Savings Transfer,50.0,+$50.00,aug_2025.pdf
Aug 27,From Savings Transfer,50.0,+$50.00,aug_2025.pdf
Aug 27,From Savings Transfer,100.0,+$100.00,aug_2025.pdf
Aug 28,From Savings Transfer,100.0,+$100.00,aug_2025.pdf
Aug 28,From Savings Transfer,200.0,+$200.00,aug_2025.pdf
Aug 30,From Savings Transfer,130.0,+$130.00,aug_2025.pdf
Aug 30,From Savings Transfer,600.0,+$600.00,aug_2025.pdf
Aug 30,From Savings Transfer,200.0,+$200.00,aug_2025.pdf
Aug 30,From Savings Transfer,100.0,+$100.00,aug_2025.pdf
Aug 31,From Savings Transfer,100.0,+$100.00,aug_2025.pdf
