Date,Description,Amount,Original_Amount_Str,Source_File
Money In,,1381.64,"+$1,381.64",dec_2025.pdf
Dec 1,From Judy Wagner Cash App payment,155.0,+$155.00,dec_2025.pdf
Dec 2,sale of BTC 0.00082817 Bitcoin sale,73.53,+$73.53,dec_2025.pdf
Dec 3,From Savings Transfer,10.0,+$10.00,dec_2025.pdf
Dec 3,From Savings Transfer,38.42,+$38.42,dec_2025.pdf
Dec 3,Cash App Loan drawdown (#A6V72DXFD),30.16,+$30.16,dec_2025.pdf
Dec 5,"DoorDash, Inc. San Francisco CA Cash App Card",64.08,+$64.08,dec_2025.pdf
Dec 5,From Savings Transfer,20.0,+$20.00,dec_2025.pdf
Dec 5,From Savings Transfer,24.85,+$24.85,dec_2025.pdf
Dec 5,sale of BTC 0.00022539 Bitcoin sale,18.99,+$18.99,dec_2025.pdf
Dec 6,"DoorDash, Inc. San Francisco CA Cash App Card",82.99,+$82.99,dec_2025.pdf
Dec 6,From Savings Transfer,58.09,+$58.09,dec_2025.pdf
Dec 6,sale of BTC 0.00027985 Bitcoin sale,23.79,+$23.79,dec_2025.pdf
Dec 6,From closing pool for 3 Standard transfer,1.0,+$1.00,dec_2025.pdf
Dec 8,"DoorDash, Inc. DoorDash, Direct deposit",3.0,+$3.00,dec_2025.pdf
Dec 8,"UBER USA, LLC PARTNER Direct deposit",4.0,+$4.00,dec_2025.pdf
Dec 9,From Savings Transfer,4.9,+$4.90,dec_2025.pdf
Dec 9,From Judy Wagner Cash App payment,74.0,+$74.00,dec_2025.pdf
Dec 9,From Judy Wagner Cash App payment,20.0,+$20.00,dec_2025.pdf
Dec 11,From Judy Wagner Cash App payment,25.0,+$25.00,dec_2025.pdf
Dec 12,From Judy Wagner Cash App payment,20.0,+$20.00,dec_2025.pdf
Dec 12,From Judy Wagner Cash App payment,7.0,+$7.00,dec_2025.pdf
Dec 16,From Judy Wagner Cash App payment,25.0,+$25.00,dec_2025.pdf
Dec 18,Cash App Loan drawdown (#3WR7N8ZF8),25.0,+$25.00,dec_2025.pdf
Dec 18,Amazon Prime Dispute Credit Final,16.23,+$16.23,dec_2025.pdf
Dec 24,From Judy Wagner Cash App payment,50.0,+$50.00,dec_2025.pdf
Dec 29,eBay ComTGEK6YRP PAYMENTS Direct deposit,152.49,+$152.49,dec_2025.pdf
Dec 29,From Savings Transfer,88.0,+$88.00,dec_2025.pdf
Dec 29,sale of BTC 0.00052771 Bitcoin sale,44.12,+$44.12,dec_2025.pdf
Dec 29,Cash App Loan drawdown (#3B4E5CXH0),60.0,+$60.00,dec_2025.pdf
Dec 29,From Savings Transfer,50.0,+$50.00,dec_2025.pdf
Dec 29,Cash App Loan drawdown (#AW4ENCXTD),45.0,+$45.00,dec_2025.pdf
Dec 29,From Savings Transfer,44.0,+$44.00,dec_2025.pdf
Dec 29,From Savings Transfer,10.0,+$10.00,dec_2025.pdf
Dec 31,From Savings Transfer,8.0,+$8.00,dec_2025.pdf
Dec 31,From Savings Transfer,5.0,+$5.00,dec_2025.pdf
