Date,Description,Amount,Original_Amount_Str,Source_File
Money In,,897.33,+$897.33,jan_2025.pdf
Jan 3,From Tracy Myers Cash App payment,8.0,+$8.00,jan_2025.pdf
Jan 6,"DoorDash, Inc. DoorDash, Direct deposit",56.78,+$56.78,jan_2025.pdf
Jan 8,Uber San Francisco CA Cash App Card,14.48,+$14.48,jan_2025.pdf
Jan 8,From Tracy Myers Cash App payment,50.0,+$50.00,jan_2025.pdf
Jan 9,Uber San Francisco CA Cash App Card,3.66,+$3.66,jan_2025.pdf
Jan 9,From Tracy Myers Cash App payment,7.0,+$7.00,jan_2025.pdf
Jan 9,"DoorDash, Inc. San Francisco CA Cash App Card",42.81,+$42.81,jan_2025.pdf
Jan 10,Uber San Francisco CA Cash App Card,9.21,+$9.21,jan_2025.pdf
Jan 10,"DoorDash, Inc. San Francisco CA Cash App Card",4.51,+$4.51,jan_2025.pdf
Jan 10,sale of BTC 0.00013744 Bitcoin sale,12.66,+$12.66,jan_2025.pdf
Jan 10,Uber San Francisco CA Cash App Card,8.3,+$8.30,jan_2025.pdf
Jan 10,sale of BTC 0.00013353 Bitcoin sale,12.31,+$12.31,jan_2025.pdf
Jan 11,"DoorDash, Inc. San Francisco CA Cash App Card",6.51,+$6.51,jan_2025.pdf
Jan 11,Uber San Francisco CA Cash App Card,44.12,+$44.12,jan_2025.pdf
Jan 11,From Tracy Myers Cash App payment,10.0,+$10.00,jan_2025.pdf
Jan 12,From Tracy Myers Cash App payment,25.0,+$25.00,jan_2025.pdf
Jan 12,Uber San Francisco CA Cash App Card,39.43,+$39.43,jan_2025.pdf
Jan 12,Uber San Francisco CA Cash App Card,40.57,+$40.57,jan_2025.pdf
Jan 12,Uber San Francisco CA Cash App Card,24.63,+$24.63,jan_2025.pdf
Jan 13,Uber San Francisco CA Cash App Card,12.71,+$12.71,jan_2025.pdf
Jan 13,Uber San Francisco CA Cash App Card,4.5,+$4.50,jan_2025.pdf
Jan 13,"UBER USA, LLC PART. PYMT Direct deposit",11.94,+$11.94,jan_2025.pdf
Jan 14,From Nankuronaisa Ov Cash App payment,15.0,+$15.00,jan_2025.pdf
Jan 14,"DoorDash, Inc. San Francisco CA Cash App Card",2.34,+$2.34,jan_2025.pdf
Jan 14,Uber San Francisco CA Cash App Card,23.65,+$23.65,jan_2025.pdf
Jan 14,From Tracy Myers Cash App payment,15.0,+$15.00,jan_2025.pdf
Jan 15,Uber San Francisco CA Cash App Card,10.05,+$10.05,jan_2025.pdf
Jan 16,Uber San Francisco CA Cash App Card,11.86,+$11.86,jan_2025.pdf
Jan 16,Uber San Francisco CA Cash App Card,15.28,+$15.28,jan_2025.pdf
Jan 16,Uber San Francisco CA Cash App Card,43.13,+$43.13,jan_2025.pdf
Jan 16,Uber San Francisco CA Cash App Card,8.6,+$8.60,jan_2025.pdf
Jan 16,From Nankuronaisa Ov Cash App payment,40.0,+$40.00,jan_2025.pdf
Jan 19,Uber San Francisco CA Cash App Card,34.48,+$34.48,jan_2025.pdf
Jan 19,Uber San Francisco CA Cash App Card,15.7,+$15.70,jan_2025.pdf
Jan 21,Uber San Francisco CA Cash App Card,24.48,+$24.48,jan_2025.pdf
Jan 21,"DoorDash, Inc. San Francisco CA Cash App Card",5.01,+$5.01,jan_2025.pdf
Jan 21,sale of BTC 0.00001113 Bitcoin sale,1.13,+$1.13,jan_2025.pdf
Jan 21,"UBER USA, LLC PART. PYMT Direct deposit",33.53,+$33.53,jan_2025.pdf
Jan 22,Uber San Francisco CA Cash App Card,9.31,+$9.31,jan_2025.pdf
Jan 22,"DoorDash, Inc. San Francisco CA Cash App Card",9.91,+$9.91,jan_2025.pdf
Jan 23,From Tracy Myers Cash App payment,5.0,+$5.00,jan_2025.pdf
Jan 25,"DoorDash, Inc. San Francisco CA Cash App Card",3.76,+$3.76,jan_2025.pdf
Jan 25,Uber San Francisco CA Cash App Card,17.6,+$17.60,jan_2025.pdf
Jan 27,"UBER USA, LLC PART. PYMT Direct deposit",11.03,+$11.03,jan_2025.pdf
Jan 30,OASISBATCH PAYROLL Direct deposit,92.35,+$92.35,jan_2025.pdf
