Date,Description,Amount,Original_Amount_Str,Source_File
Money In,,8196.0,"+$8,196.00",june_2025.pdf
Jun 2,TEXAS TECH UNIVE INVOICE Direct deposit,3793.25,"+$3,793.25",june_2025.pdf
Jun 3,From Savings Transfer,15.0,+$15.00,june_2025.pdf
Jun 3,From Savings Transfer,145.0,+$145.00,june_2025.pdf
Jun 4,From Savings Transfer,200.0,+$200.00,june_2025.pdf
Jun 4,From Savings Transfer,650.0,+$650.00,june_2025.pdf
Jun 5,From Savings Transfer,280.0,+$280.00,june_2025.pdf
Jun 5,From Savings Transfer,130.0,+$130.00,june_2025.pdf
Jun 5,From Savings Transfer,20.0,+$20.00,june_2025.pdf
Jun 5,OASISBATCH PAYROLL Direct deposit,300.6,+$300.60,june_2025.pdf
Jun 7,From Savings Transfer,100.0,+$100.00,june_2025.pdf
Jun 7,From Savings Transfer,642.0,+$642.00,june_2025.pdf
Jun 13,From Savings Transfer,150.0,+$150.00,june_2025.pdf
Jun 13,From Savings Transfer,50.0,+$50.00,june_2025.pdf
Jun 13,From Savings Transfer,120.0,+$120.00,june_2025.pdf
Jun 13,From Savings Transfer,10.0,+$10.00,june_2025.pdf
Jun 14,From Savings Transfer,20.0,+$20.00,june_2025.pdf
Jun 14,From Savings Transfer,80.0,+$80.00,june_2025.pdf
Jun 15,From Savings Transfer,140.0,+$140.00,june_2025.pdf
Jun 17,From Savings Transfer,200.0,+$200.00,june_2025.pdf
Jun 17,From Savings Transfer,20.0,+$20.00,june_2025.pdf
Jun 17,From Savings Transfer,50.0,+$50.00,june_2025.pdf
Jun 18,From Savings Transfer,35.0,+$35.00,june_2025.pdf
Jun 19,From Savings Transfer,65.0,+$65.00,june_2025.pdf
Jun 19,From Savings Transfer,30.0,+$30.00,june_2025.pdf
Jun 22,From Savings Transfer,200.0,+$200.00,june_2025.pdf
Jun 24,sale of BTC 0.00556344 Bitcoin sale,574.75,+$574.75,june_2025.pdf
Jun 24,From Savings Transfer,150.4,+$150.40,june_2025.pdf
Jun 24,From Savings Transfer,25.0,+$25.00,june_2025.pdf
