Date,Description,Amount,Original_Amount_Str,Source_File
Money In,,2365.43,"+$2,365.43",march_2025.pdf
Mar 1,"DoorDash, Inc. San Francisco CA Cash App Card",167.99,+$167.99,march_2025.pdf
Mar 2,"DoorDash, Inc. San Francisco CA Cash App Card",109.26,+$109.26,march_2025.pdf
Mar 3,"DoorDash, Inc. DoorDash, Direct deposit",38.75,+$38.75,march_2025.pdf
Mar 4,#FWM The Forum ACCTVERIFY Direct deposit,0.01,+$0.01,march_2025.pdf
Mar 6,OASISBATCH PAYROLL Direct deposit,275.9,+$275.90,march_2025.pdf
Mar 6,"DoorDash, Inc. San Francisco CA Cash App Card",107.76,+$107.76,march_2025.pdf
Mar 7,"DoorDash, Inc. San Francisco CA Cash App Card",28.51,+$28.51,march_2025.pdf
Mar 7,Uber San Francisco CA Cash App Card,24.89,+$24.89,march_2025.pdf
Mar 7,From Tracy Myers Cash App payment,10.0,+$10.00,march_2025.pdf
Mar 10,"DoorDash, Inc. DoorDash, Direct deposit",75.06,+$75.06,march_2025.pdf
Mar 10,"UBER USA, LLC PART. PYMT Direct deposit",42.88,+$42.88,march_2025.pdf
Mar 11,From Mark Adrian Cash App payment,11.0,+$11.00,march_2025.pdf
Mar 12,"DoorDash, Inc. San Francisco CA Cash App Card",40.51,+$40.51,march_2025.pdf
Mar 12,From Mark Adrian Cash App payment,1.0,+$1.00,march_2025.pdf
Mar 13,From Mark Adrian Cash App payment,10.0,+$10.00,march_2025.pdf
Mar 13,From Mark Adrian Cash App payment,11.11,+$11.11,march_2025.pdf
Mar 13,OASISBATCH PAYROLL Direct deposit,358.25,+$358.25,march_2025.pdf
Mar 13,From Mark Adrian Cash App payment,7.77,+$7.77,march_2025.pdf
Mar 17,"DoorDash, Inc. DoorDash, Direct deposit",111.76,+$111.76,march_2025.pdf
Mar 17,From Tracy Myers Cash App payment,20.0,+$20.00,march_2025.pdf
Mar 17,"UBER USA, LLC PART. PYMT Direct deposit",11.32,+$11.32,march_2025.pdf
Mar 20,OASISBATCH PAYROLL Direct deposit,440.6,+$440.60,march_2025.pdf
Mar 24,"DoorDash, Inc. DoorDash, Direct deposit",121.8,+$121.80,march_2025.pdf
Mar 26,"DoorDash, Inc. San Francisco CA Cash App Card",36.01,+$36.01,march_2025.pdf
Mar 26,sale of BTC 0.00079717 Bitcoin sale,67.55,+$67.55,march_2025.pdf
Mar 27,OASISBATCH PAYROLL Direct deposit,138.52,+$138.52,march_2025.pdf
Mar 28,"DoorDash, Inc. San Francisco CA Cash App Card",13.51,+$13.51,march_2025.pdf
Mar 28,Uber San Francisco CA Cash App Card,7.14,+$7.14,march_2025.pdf
Mar 29,Uber San Francisco CA Cash App Card,3.86,+$3.86,march_2025.pdf
Mar 29,"DoorDash, Inc. San Francisco CA Cash App Card",29.18,+$29.18,march_2025.pdf
Mar 30,"DoorDash, Inc. San Francisco CA Cash App Card",30.51,+$30.51,march_2025.pdf
Mar 31,"UBER USA, LLC PART. PYMT Direct deposit",13.02,+$13.02,march_2025.pdf
