Date,Description,Amount,Original_Amount_Str,Source_File
Money In,,3395.7,"+$3,395.70",may_2025.pdf
May 1,OASISBATCH PAYROLL Direct deposit,358.25,+$358.25,may_2025.pdf
May 3,From Savings Transfer,20.0,+$20.00,may_2025.pdf
May 4,From Savings Transfer,43.0,+$43.00,may_2025.pdf
May 5,From Savings Transfer,457.5,+$457.50,may_2025.pdf
May 8,OASISBATCH PAYROLL Direct deposit,358.25,+$358.25,may_2025.pdf
May 8,From Savings Transfer,50.0,+$50.00,may_2025.pdf
May 10,From Savings Transfer,60.0,+$60.00,may_2025.pdf
May 11,From Savings Transfer,25.0,+$25.00,may_2025.pdf
May 12,From Savings Transfer,25.0,+$25.00,may_2025.pdf
May 12,From Savings Transfer,108.0,+$108.00,may_2025.pdf
May 12,From Savings Transfer,15.0,+$15.00,may_2025.pdf
May 15,OASISBATCH PAYROLL Direct deposit,358.25,+$358.25,may_2025.pdf
May 16,From Savings Transfer,90.0,+$90.00,may_2025.pdf
May 18,From Savings Transfer,100.0,+$100.00,may_2025.pdf
May 22,OASISBATCH PAYROLL Direct deposit,513.27,+$513.27,may_2025.pdf
May 23,From Savings Transfer,300.0,+$300.00,may_2025.pdf
May 24,From Savings Transfer,10.0,+$10.00,may_2025.pdf
May 24,From Savings Transfer,20.0,+$20.00,may_2025.pdf
May 25,From Savings Transfer,30.0,+$30.00,may_2025.pdf
May 26,From Savings Transfer,2.0,+$2.00,may_2025.pdf
May 28,From Savings Transfer,3.0,+$3.00,may_2025.pdf
May 28,From Savings Transfer,17.0,+$17.00,may_2025.pdf
May 28,From Savings Transfer,11.0,+$11.00,may_2025.pdf
May 28,sale of BTC 0.00029592 Bitcoin sale,29.99,+$29.99,may_2025.pdf
May 29,OASISBATCH PAYROLL Direct deposit,391.19,+$391.19,may_2025.pdf
