Date,Description,Amount,Original_Amount_Str,Source_File
Money In,,4512.01,"+$4,512.01",oct_2025.pdf
Oct 1,sale of BTC 0.00532366 Bitcoin sale,609.15,+$609.15,oct_2025.pdf
Oct 2,sale of BTC 0.00261477 Bitcoin sale,304.58,+$304.58,oct_2025.pdf
Oct 2,OASISBATCH PAYROLL Direct deposit,391.19,+$391.19,oct_2025.pdf
Oct 4,From Savings Transfer,100.0,+$100.00,oct_2025.pdf
Oct 5,From Savings Transfer,10.0,+$10.00,oct_2025.pdf
Oct 6,Cash App Loan drawdown (#5PTE5DX98),25.0,+$25.00,oct_2025.pdf
Oct 6,From Savings Transfer,50.0,+$50.00,oct_2025.pdf
Oct 6,From Savings Transfer,20.0,+$20.00,oct_2025.pdf
Oct 8,sale of BTC 0.00089875 Bitcoin sale,107.8,+$107.80,oct_2025.pdf
Oct 8,From Savings Transfer,100.0,+$100.00,oct_2025.pdf
Oct 9,OASISBATCH PAYROLL Direct deposit,673.97,+$673.97,oct_2025.pdf
Oct 10,From Savings Transfer,100.0,+$100.00,oct_2025.pdf
Oct 16,sale of BTC 0.00111522 Bitcoin sale,117.6,+$117.60,oct_2025.pdf
Oct 16,OASISBATCH PAYROLL Direct deposit,124.67,+$124.67,oct_2025.pdf
Oct 19,From Savings Transfer,20.0,+$20.00,oct_2025.pdf
Oct 19,From Savings Transfer,50.0,+$50.00,oct_2025.pdf
Oct 20,From Savings Transfer,50.0,+$50.00,oct_2025.pdf
Oct 20,From Savings Transfer,50.0,+$50.00,oct_2025.pdf
Oct 22,Cash App Loan drawdown (#SP57DRC30),43.85,+$43.85,oct_2025.pdf
Oct 23,sale of BTC 0.00089949 Bitcoin sale,96.01,+$96.01,oct_2025.pdf
Oct 23,From Savings Transfer,20.0,+$20.00,oct_2025.pdf
Oct 23,OASISBATCH PAYROLL Direct deposit,391.19,+$391.19,oct_2025.pdf
Oct 24,Cash App Loan drawdown (#SPQE54C30),40.0,+$40.00,oct_2025.pdf
Oct 26,From Savings Transfer,10.0,+$10.00,oct_2025.pdf
Oct 26,From Savings Transfer,25.0,+$25.00,oct_2025.pdf
Oct 26,From Savings Transfer,100.0,+$100.00,oct_2025.pdf
Oct 26,From Savings Transfer,50.0,+$50.00,oct_2025.pdf
Oct 27,From Savings Transfer,153.0,+$153.00,oct_2025.pdf
Oct 29,From Savings Transfer,20.0,+$20.00,oct_2025.pdf
Oct 29,sale of BTC 0.00364334 Bitcoin sale,393.0,+$393.00,oct_2025.pdf
Oct 29,From Savings Transfer,229.0,+$229.00,oct_2025.pdf
Oct 29,Cash App Loan drawdown (#3W5Q98X4K),37.0,+$37.00,oct_2025.pdf
Oct 31,To pool for 3 Standard transfer,1.0,+$1.00,oct_2025.pdf
