Date,Description,Amount,Original_Amount_Str,Source_File
Money In,,4031.59,"+$4,031.59",sept_20225.pdf
Sep 1,From Savings Transfer,40.0,+$40.00,sept_20225.pdf
Sep 1,From Savings Transfer,75.0,+$75.00,sept_20225.pdf
Sep 1,Crowne Plaza Dallas Ma Dallas TX Cash App Card,77.26,+$77.26,sept_20225.pdf
Sep 2,From Savings Transfer,80.0,+$80.00,sept_20225.pdf
Sep 2,Apple.com Bill Cash App Card,9.52,+$9.52,sept_20225.pdf
Sep 5,From Savings Transfer,200.0,+$200.00,sept_20225.pdf
Sep 5,From Savings Transfer,80.0,+$80.00,sept_20225.pdf
Sep 6,From Savings Transfer,100.0,+$100.00,sept_20225.pdf
Sep 8,Wm Supercenter Killeen TX Cash App Card,193.77,+$193.77,sept_20225.pdf
Sep 8,sale of BTC 0.00233357 Bitcoin sale,255.45,+$255.45,sept_20225.pdf
Sep 9,From Savings Transfer,30.0,+$30.00,sept_20225.pdf
Sep 11,From Savings Transfer,40.89,+$40.89,sept_20225.pdf
Sep 11,OASISBATCH PAYROLL Direct deposit,193.94,+$193.94,sept_20225.pdf
Sep 12,From Savings Transfer,80.0,+$80.00,sept_20225.pdf
Sep 16,sale of BTC 0.00215839 Bitcoin sale,245.62,+$245.62,sept_20225.pdf
Sep 17,From Savings Transfer,55.0,+$55.00,sept_20225.pdf
Sep 18,sale of BTC 0.00196745 Bitcoin sale,225.98,+$225.98,sept_20225.pdf
Sep 18,OASISBATCH PAYROLL Direct deposit,374.72,+$374.72,sept_20225.pdf
Sep 20,From Savings Transfer,263.0,+$263.00,sept_20225.pdf
Sep 20,sale of BTC 0.00173935 Bitcoin sale,196.0,+$196.00,sept_20225.pdf
Sep 23,sale of BTC 0.0015307 Bitcoin sale,166.6,+$166.60,sept_20225.pdf
Sep 25,sale of BTC 0.00138109 Bitcoin sale,147.0,+$147.00,sept_20225.pdf
Sep 25,OASISBATCH PAYROLL Direct deposit,288.25,+$288.25,sept_20225.pdf
Sep 26,From Savings Transfer,25.0,+$25.00,sept_20225.pdf
Sep 26,From Savings Transfer,10.0,+$10.00,sept_20225.pdf
Sep 26,From Savings Transfer,25.0,+$25.00,sept_20225.pdf
Sep 27,From Savings Transfer,100.0,+$100.00,sept_20225.pdf
Sep 27,From Savings Transfer,66.0,+$66.00,sept_20225.pdf
Sep 27,sale of BTC 0.00129259 Bitcoin sale,137.2,+$137.20,sept_20225.pdf
Sep 27,From Savings Transfer,80.0,+$80.00,sept_20225.pdf
Sep 27,From Savings Transfer,20.0,+$20.00,sept_20225.pdf
Sep 28,Budget Inn Austin TX Cash App Card,10.0,+$10.00,sept_20225.pdf
Sep 28,Cvs Pharmacy Austin TX Cash App Card,12.99,+$12.99,sept_20225.pdf
Sep 29,sale of BTC 0.00114834 Bitcoin sale,127.4,+$127.40,sept_20225.pdf
